uf,date_base,target_date,target_taxa,taxa_atual,taxa_media_3m,taxa_media_6m,taxa_tendencia_6m,taxa_volatilidade_6m,saldo_atual,estoque_atual,admissoes_atual,desligamentos_atual,saldo_medio_6m,taxa_lag_6m,taxa_lag_5m,taxa_lag_4m,taxa_lag_3m,taxa_lag_2m,taxa_lag_1m
Sul,2021-01-01,2021-02-01,0.014410682118401769,0.012018910122451158,0.007179058085092984,0.008203180719520363,-0.00016617150265608354,0.005735168550445441,86500.0,7196992.0,364797.0,278297.0,57954.666666666664,0.005965861635026619,0.008635770667932014,0.01308027775888458,0.012824223832944187,-0.0033059597001163913,0.012018910122451158
Sul,2021-02-01,2021-03-01,0.0064862151091954375,0.014410682118401769,0.007707877513578845,0.009610650800082885,0.00027315059457108323,0.006041448427009776,105230.0,7302222.0,405571.0,300341.0,68641.83333333333,0.008635770667932014,0.01308027775888458,0.012824223832944187,-0.0033059597001163913,0.012018910122451158,0.014410682118401769
Sul,2021-03-01,2021-04-01,0.0025371203988822826,0.0064862151091954375,0.010971935783349455,0.009252391540293456,-0.0003681733877001545,0.006151371168398053,47673.0,7349895.0,372887.0,325214.0,66583.66666666667,0.01308027775888458,0.012824223832944187,-0.0033059597001163913,0.012018910122451158,0.014410682118401769,0.0064862151091954375
Sul,2021-04-01,2021-05-01,0.004944763866830461,0.0025371203988822826,0.007811339208826496,0.007495198646959741,-0.0005619205927549538,0.00631073154663662,18695.0,7368590.0,307693.0,288998.0,54346.5,0.012824223832944187,-0.0033059597001163913,0.012018910122451158,0.014410682118401769,0.0064862151091954375,0.0025371203988822826
Sul,2021-05-01,2021-06-01,0.005780810132401322,0.004944763866830461,0.004656033124969394,0.0061819553192741196,0.00013953661870917978,0.005869562105058882,36617.0,7405207.0,328208.0,291591.0,45201.333333333336,-0.0033059597001163913,0.012018910122451158,0.014410682118401769,0.0064862151091954375,0.0025371203988822826,0.004944763866830461
Sul,2021-06-01,2021-07-01,0.005680290553202896,0.005780810132401322,0.004420898132704688,0.007696416958027072,-0.001815352840436464,0.004145064887813559,43057.0,7448264.0,332332.0,289275.0,56295.333333333336,0.012018910122451158,0.014410682118401769,0.0064862151091954375,0.0025371203988822826,0.004944763866830461,0.005780810132401322
Sul,2021-07-01,2021-08-01,0.0072796002620815125,0.005680290553202896,0.005468621517478227,0.006639980363152362,-0.0012388722653836714,0.0036917440863568013,42550.0,7490814.0,350075.0,307525.0,48970.333333333336,0.014410682118401769,0.0064862151091954375,0.0025371203988822826,0.004944763866830461,0.005780810132401322,0.005680290553202896
Sul,2021-08-01,2021-09-01,0.006303719494754275,0.0072796002620815125,0.006246900315895244,0.005451466720432319,0.0004066423569418019,0.001490177068191472,54930.0,7545744.0,379985.0,325055.0,40587.0,0.0064862151091954375,0.0025371203988822826,0.004944763866830461,0.005780810132401322,0.005680290553202896,0.0072796002620815125
Sul,2021-09-01,2021-10-01,0.007095303323432545,0.006303719494754275,0.006421203436679561,0.005421050784692125,0.0007353424310261337,0.0014704787177306283,47868.0,7593612.0,368706.0,320838.0,40619.5,0.0025371203988822826,0.004944763866830461,0.005780810132401322,0.005680290553202896,0.0072796002620815125,0.006303719494754275
Sul,2021-10-01,2021-11-01,0.007054210032472502,0.007095303323432545,0.006892874360089445,0.006180747938783836,0.00039773528796993975,0.0008161979389689992,54264.0,7647876.0,370710.0,316446.0,46547.666666666664,0.004944763866830461,0.005780810132401322,0.005680290553202896,0.0072796002620815125,0.006303719494754275,0.007095303323432545
Sul,2021-11-01,2021-12-01,-0.01047761548447361,0.007054210032472502,0.006817744283553108,0.006532322299724176,0.0002753187726776461,0.0006442989302112733,54333.0,7702209.0,364522.0,310189.0,49500.333333333336,0.005780810132401322,0.005680290553202896,0.0072796002620815125,0.006303719494754275,0.007095303323432545,0.007054210032472502
Sul,2021-12-01,2022-01-01,0.007725384352321475,-0.01047761548447361,0.0012239659571438126,0.003822584696911687,-0.002304974772815179,0.006418824818413644,-79864.0,7622345.0,286193.0,366057.0,29013.5,0.005680290553202896,0.0072796002620815125,0.006303719494754275,0.007095303323432545,0.007054210032472502,-0.01047761548447361
Sul,2022-01-01,2022-02-01,0.010715281036748483,0.007725384352321475,0.0014339929667734558,0.004163433663431451,-0.001375890793641254,0.006561142917342986,59344.0,7681689.0,398818.0,339474.0,31812.5,0.0072796002620815125,0.006303719494754275,0.007095303323432545,0.007054210032472502,-0.01047761548447361,0.007725384352321475
Sul,2022-02-01,2022-03-01,0.004264346935797304,0.010715281036748483,0.002654349968198783,0.004736047125875945,0.0001833207222769058,0.006946707504989482,83203.0,7764892.0,457935.0,374732.0,36524.666666666664,0.006303719494754275,0.007095303323432545,0.007054210032472502,-0.01047761548447361,0.007725384352321475,0.010715281036748483
Sul,2022-03-01,2022-04-01,0.0031756404105898655,0.004264346935797304,0.0075683374416224206,0.004396151699383117,0.0004294694546127666,0.006911490456319032,33254.0,7798146.0,433863.0,400609.0,34089.0,0.007095303323432545,0.007054210032472502,-0.01047761548447361,0.007725384352321475,0.010715281036748483,0.004264346935797304
Sul,2022-04-01,2022-05-01,0.003272908287600573,0.0031756404105898655,0.006051756127711884,0.00374287454724267,0.0007949410238807587,0.006809990260126969,24843.0,7822989.0,374397.0,349554.0,29185.5,0.007054210032472502,-0.01047761548447361,0.007725384352321475,0.010715281036748483,0.004264346935797304,0.0031756404105898655
Sul,2022-05-01,2022-06-01,0.004010264103593286,0.003272908287600573,0.0035709652113292477,0.003112657589764015,0.0013900700838349966,0.006647414148457063,25688.0,7848677.0,390319.0,364631.0,24411.333333333332,-0.01047761548447361,0.007725384352321475,0.010715281036748483,0.004264346935797304,0.0031756404105898655,0.003272908287600573
Sul,2022-06-01,2022-07-01,0.0035577293300870024,0.004010264103593286,0.003486270933927908,0.005527304187775165,-0.0011997550290369175,0.0027765612793598524,31602.0,7880279.0,377342.0,345740.0,42989.0,0.007725384352321475,0.010715281036748483,0.004264346935797304,0.0031756404105898655,0.003272908287600573,0.004010264103593286
Sul,2022-07-01,2022-08-01,0.004404034646130032,0.0035577293300870024,0.0036136339070936205,0.004832695017402752,-0.0010415068329402497,0.0026585877372869485,28136.0,7908415.0,380530.0,352394.0,37787.666666666664,0.010715281036748483,0.004264346935797304,0.0031756404105898655,0.003272908287600573,0.004010264103593286,0.0035577293300870024
Sul,2022-08-01,2022-09-01,0.0048049613180067025,0.004404034646130032,0.00399067602660344,0.003780820618966344,7.377317503279311e-05,0.0004741352619062248,34983.0,7943398.0,409918.0,374935.0,29751.0,0.004264346935797304,0.0031756404105898655,0.003272908287600573,0.004010264103593286,0.0035577293300870024,0.004404034646130032
