setor,date_base,target_date,target_taxa,taxa_atual,taxa_media_3m,taxa_media_6m,taxa_tendencia_6m,taxa_volatilidade_6m,saldo_atual,estoque_atual,admissoes_atual,desligamentos_atual,saldo_medio_6m,taxa_lag_6m,taxa_lag_5m,taxa_lag_4m,taxa_lag_3m,taxa_lag_2m,taxa_lag_1m
Outros serviços,2026-05-01,2026-06-01,0.00279210503664762,0.002350421249932774,0.004558728966201151,0.002843498004854993,0.0018483636636426677,0.006640530335157701,3540.0,1506113.0,58127.0,54587.0,4255.333333333333,-0.010955834229940814,0.004111112244585676,0.010229523115881642,0.006626493134123965,0.004699272514546714,0.002350421249932774
Saúde Humana e Serviços Sociais,2020-07-01,2020-08-01,0.003161231945089052,0.005375551023799934,0.004582499741970273,0.003777245741178803,0.0003940682165304632,0.0014612306770064095,13520.0,2515091.0,63240.0,49720.0,9413.5,0.003935060362845543,0.003820743485121822,0.0011601713731946395,0.0029517542519891383,0.005420193950121744,0.005375551023799934
Saúde Humana e Serviços Sociais,2020-08-01,2020-09-01,0.002258008515578875,0.003161231945089052,0.0046523256396702435,0.0036482743382193882,0.00033762916999384673,0.0014756883339660416,7976.0,2523067.0,63675.0,55699.0,9124.0,0.003820743485121822,0.0011601713731946395,0.0029517542519891383,0.005420193950121744,0.005375551023799934,0.003161231945089052
Saúde Humana e Serviços Sociais,2020-09-01,2020-10-01,0.0022104034163793183,0.002258008515578875,0.003598263828155954,0.00338781850996223,0.00017351359613997452,0.0015578835201511456,5710.0,2528777.0,60645.0,54935.0,8497.833333333334,0.0011601713731946395,0.0029517542519891383,0.005420193950121744,0.005375551023799934,0.003161231945089052,0.002258008515578875
Saúde Humana e Serviços Sociais,2020-10-01,2020-11-01,0.005836600297027606,0.0022104034163793183,0.0025432146256824154,0.003562857183826344,-0.0004402179874396739,0.0013417693347908522,5602.0,2534379.0,63690.0,58088.0,8951.833333333334,0.0029517542519891383,0.005420193950121744,0.005375551023799934,0.003161231945089052,0.002258008515578875,0.0022104034163793183
Saúde Humana e Serviços Sociais,2020-11-01,2020-12-01,0.0028959635649921656,0.005836600297027606,0.0034350040763285994,0.004043664857999421,-0.00023761812906407755,0.0015390188714988903,14879.0,2549258.0,63732.0,48853.0,10207.666666666666,0.005420193950121744,0.005375551023799934,0.003161231945089052,0.002258008515578875,0.0022104034163793183,0.005836600297027606
Saúde Humana e Serviços Sociais,2020-12-01,2021-01-01,0.008325811723006664,0.0028959635649921656,0.003647655759466363,0.003622959793811158,-0.00012626963821207822,0.0014475210954874903,7404.0,2556662.0,66479.0,59075.0,9181.833333333334,0.005375551023799934,0.003161231945089052,0.002258008515578875,0.0022104034163793183,0.005836600297027606,0.0028959635649921656
Saúde Humana e Serviços Sociais,2021-01-01,2021-02-01,0.009946133431028173,0.008325811723006664,0.005686125195008811,0.004114669910345614,0.0008960845976707485,0.0022422634080908137,21465.0,2578127.0,75972.0,54507.0,10506.0,0.003161231945089052,0.002258008515578875,0.0022104034163793183,0.005836600297027606,0.0028959635649921656,0.008325811723006664
Saúde Humana e Serviços Sociais,2021-02-01,2021-03-01,0.01497904771703713,0.009946133431028173,0.007055969573009001,0.0052454868246688,0.0015384632218598021,0.0030438712364553285,25900.0,2604027.0,81793.0,55893.0,13493.333333333334,0.002258008515578875,0.0022104034163793183,0.005836600297027606,0.0028959635649921656,0.008325811723006664,0.009946133431028173
Saúde Humana e Serviços Sociais,2021-03-01,2021-04-01,0.011309467265749292,0.01497904771703713,0.011083664290357323,0.007365660024911842,0.002331476258951578,0.004367250989442271,39599.0,2643626.0,107555.0,67956.0,19141.5,0.0022104034163793183,0.005836600297027606,0.0028959635649921656,0.008325811723006664,0.009946133431028173,0.01497904771703713
Saúde Humana e Serviços Sociais,2021-04-01,2021-05-01,0.006104918057161124,0.011309467265749292,0.012078216137938198,0.008882170666473505,0.0018638259716504237,0.0038646993183159804,30240.0,2673866.0,91794.0,61554.0,23247.833333333332,0.005836600297027606,0.0028959635649921656,0.008325811723006664,0.009946133431028173,0.01497904771703713,0.011309467265749292
Saúde Humana e Serviços Sociais,2021-05-01,2021-06-01,0.006474209336584656,0.006104918057161124,0.010797811013315848,0.008926890293162426,0.0008579615250023323,0.003830601324347794,16424.0,2690290.0,77806.0,61382.0,23505.333333333332,0.0028959635649921656,0.008325811723006664,0.009946133431028173,0.01497904771703713,0.011309467265749292,0.006104918057161124
Saúde Humana e Serviços Sociais,2021-06-01,2021-07-01,0.0037281719999676228,0.006474209336584656,0.00796286488649836,0.009523264588427841,-0.0006986068144285438,0.0030427682546887934,17531.0,2707821.0,81907.0,64376.0,25193.166666666668,0.008325811723006664,0.009946133431028173,0.01497904771703713,0.011309467265749292,0.006104918057161124,0.006474209336584656
Saúde Humana e Serviços Sociais,2021-07-01,2021-08-01,0.0031347870402394866,0.0037281719999676228,0.005435766464571134,0.008756991301254667,-0.0017659677572928103,0.0037455927023316658,10133.0,2717954.0,79526.0,69393.0,23304.5,0.009946133431028173,0.01497904771703713,0.011309467265749292,0.006104918057161124,0.006474209336584656,0.0037281719999676228
Saúde Humana e Serviços Sociais,2021-08-01,2021-09-01,0.0008505501641367594,0.0031347870402394866,0.004445722792263922,0.007621766902789886,-0.002331311368625991,0.004215833315987047,8547.0,2726501.0,80666.0,72119.0,20412.333333333332,0.01497904771703713,0.011309467265749292,0.006104918057161124,0.006474209336584656,0.0037281719999676228,0.0031347870402394866
